at_least_one_address_in_amsterdam,deelnames_started_percentage_last_year,active_address_count,days_since_last_relocation,days_since_last_dienst_end,has_medebewoner,avg_percentage_maatregel,total_vermogen,afspraken_no_show_count_last_year,has_partner,applied_for_same_product_last_year,received_same_product_last_year,afspraken_no_contact_count_last_year,sum_inkomen_bruto,sum_inkomen_bruto_was_mean_imputed,original_model_score,reweighted_model_score,score_difference
1,0,0,2000,0,0,0,3000,0,1,0,0,0,1000,0,0.5368090774517874,0.520267802060416,0.0165412753913714
1,0,0,2000,0,0,0,3000,0,1,0,0,0,1000,1,0.5368090774517874,0.520267802060416,0.0165412753913714
1,0,0,2000,0,0,0,3000,0,1,0,0,0,0,0,0.5891828958736436,0.6866121412910183,-0.09742924541737474
1,0,0,2000,0,0,0,3000,0,1,0,0,0,0,1,0.5891828958736436,0.6866121412910183,-0.09742924541737474
1,0,0,2000,0,0,0,3000,0,1,0,0,1,1000,0,0.4380687600699042,0.42080086614069245,0.01726789392921174
1,0,0,2000,0,0,0,3000,0,1,0,0,1,1000,1,0.4380687600699042,0.42080086614069245,0.01726789392921174
1,0,0,2000,0,0,0,3000,0,1,0,0,1,0,0,0.49102140661864524,0.5947713797764557,-0.10374997315781043
1,0,0,2000,0,0,0,3000,0,1,0,0,1,0,1,0.49102140661864524,0.5947713797764557,-0.10374997315781043
1,0,0,2000,0,0,0,3000,0,1,0,1,0,1000,0,0.5201819663515193,0.49077403568510225,0.029407930666417004
1,0,0,2000,0,0,0,3000,0,1,0,1,0,1000,1,0.5201819663515193,0.49077403568510225,0.029407930666417004
1,0,0,2000,0,0,0,3000,0,1,0,1,0,0,0,0.5729401575738157,0.6606751308966562,-0.08773497332284053
1,0,0,2000,0,0,0,3000,0,1,0,1,0,0,1,0.5729401575738157,0.6606751308966562,-0.08773497332284053
1,0,0,2000,0,0,0,3000,0,1,0,1,1,1000,0,0.4217155049279805,0.3923343678800577,0.02938113704792278
1,0,0,2000,0,0,0,3000,0,1,0,1,1,1000,1,0.4217155049279805,0.3923343678800577,0.02938113704792278
1,0,0,2000,0,0,0,3000,0,1,0,1,1,0,0,0.4743600970594154,0.5660374474652797,-0.09167735040586433
1,0,0,2000,0,0,0,3000,0,1,0,1,1,0,1,0.4743600970594154,0.5660374474652797,-0.09167735040586433
1,0,0,2000,0,0,0,3000,0,1,1,0,0,1000,0,0.5606203219864158,0.5628933679400239,-0.0022730459536081105
1,0,0,2000,0,0,0,3000,0,1,1,0,0,1000,1,0.5606203219864158,0.5628933679400239,-0.0022730459536081105
1,0,0,2000,0,0,0,3000,0,1,1,0,0,0,0,0.612246548117791,0.7223453664841333,-0.11009881836634228
1,0,0,2000,0,0,0,3000,0,1,1,0,0,0,1,0.612246548117791,0.7223453664841333,-0.11009881836634228
1,0,0,2000,0,0,0,3000,0,1,1,0,1,1000,0,0.46186749054095616,0.4631446552852151,-0.0012771647442589296
1,0,0,2000,0,0,0,3000,0,1,1,0,1,1000,1,0.46186749054095616,0.4631446552852151,-0.0012771647442589296
1,0,0,2000,0,0,0,3000,0,1,1,0,1,0,0,0.515060087574638,0.6354160345162945,-0.12035594694165652
1,0,0,2000,0,0,0,3000,0,1,1,0,1,0,1,0.515060087574638,0.6354160345162945,-0.12035594694165652
1,0,0,2000,0,0,0,3000,0,1,1,1,0,1000,0,0.5441220758131656,0.5336712944361395,0.010450781377026153
1,0,0,2000,0,0,0,3000,0,1,1,1,0,1000,1,0.5441220758131656,0.5336712944361395,0.010450781377026153
1,0,0,2000,0,0,0,3000,0,1,1,1,0,0,0,0.5962908688181242,0.6980652517132274,-0.10177438289510321
1,0,0,2000,0,0,0,3000,0,1,1,1,0,0,1,0.5962908688181242,0.6980652517132274,-0.10177438289510321
1,0,0,2000,0,0,0,3000,0,1,1,1,1,1000,0,0.4453298883766386,0.43395986126693076,0.011370027109707859
1,0,0,2000,0,0,0,3000,0,1,1,1,1,1000,1,0.4453298883766386,0.43395986126693076,0.011370027109707859
1,0,0,2000,0,0,0,3000,0,1,1,1,1,0,0,0.49838179579541936,0.6076630200707658,-0.10928122427534642
1,0,0,2000,0,0,0,3000,0,1,1,1,1,0,1,0.49838179579541936,0.6076630200707658,-0.10928122427534642
1,0,0,2000,0,0,0,3000,0,0,0,0,0,1000,0,0.5791357308906003,0.5423624352699954,0.03677329562060494
1,0,0,2000,0,0,0,3000,0,0,0,0,0,1000,1,0.5791357308906003,0.5423624352699954,0.03677329562060494
1,0,0,2000,0,0,0,3000,0,0,0,0,0,0,0,0.6300221566249147,0.7053839476535898,-0.07536179102867513
1,0,0,2000,0,0,0,3000,0,0,0,0,0,0,1,0.6300221566249147,0.7053839476535898,-0.07536179102867513
